class,tweet
0,answer snapchat faggot butthu
0,literally eat asshole living actually faggot seem little confused
0,ur faggot teammate hits someone late like u say hes yapping yelling u guys def 69 room
0,send damn beaners back belong n us aint
0,cracker jack shut fuck
0,youd like wouldnt fag
0,looks like fag time line boring zzzzzz
0,whats wrong white race fuckin coon slaying piece poop please die alone
0,lmfao go bed whitey 128129
0,pass fosters faggot
0,yeawhat maidana made greedy faggot loser atleast broner black
0,yea u stupid faggot im leaving till like 56pm want ride
0,never followed ignorant monkey
0,34 citizen said maria spic
0,nasty nigger whore
0,said bullshit damn niggers
0,wow comin back 128514128514128514128514 bitch niggas
0,id like rape bitch posted
0,fuck faggot
0,new nigga hipster hypebeasts love faggot ass bright colors nike keeps giving want smh
0,sand nigger ran kidd
0,dont like sand nigger enteaining like 6 knockdowns
0,joe coez ultimate faggot fight proved
0,us beaners pissed like robe jew ref stopped
0,true sand niggers amp bum brits claim hes atg hall fame legend smh
0,racist tx trash racist wld u intvw n ask racist questions itwas disrespectful
0,hey sir house nigger uncle tom arent grand ole mississippi rest case
0,fag hesgay
0,styl gotta get dem tweets nig
0,fuck outta go put trash ass ink faggot ass self pussy
0,stay talking defending fuckboy ass boyfriend go suck youre faggot
0,need accept fact youre hipster faggots
0,gay stfu dumb monkey
0,chase god damn faggot 128514128557128514128557
0,gone nigguh
0,faaaaggggottttt speaking blonde hair confused youre hypocrite cuz youre faggot
0,shut chink
0,call someone faggot say kill pathetic human fucking disgrace
0,dont know talking retarded faggot
0,true miss yall man yall brothers mikey staing chink lmfao
0,youre fag
0,wetback 128513128514128514128514128514128557
0,nig fun watch got admit ebola boy speak broken spanish lol
0,look like fucking shrek bitch
0,get cunt
0,bitch shut fuck goddam slut bitch whore nigga
0,jk id fuck dog fuck fish pussy
0,suppo lesbians suppo faggots theres difference
0,hoe shit bro 100x better rn nigga high
0,id hate feeling like faggot punk ass hoe
0,wash butthole tongue little faggot
0,whatever fuck assholes theyre niggers look alike
0,little isis faggots usually bags heads anyway makes bullet placement interesting thru scope
0,fags128567128567
0,purple amp pinkfor faggots want protectedby police instead bearing arms need
0,shut fag
0,like retarded wutang clan
0,beans u beaner
0,wouldnt know fag
0,enraged 64 290 lb mike brown lethal weapon legshis hatred 4 police amp whitey added fuel 2 arsenal
0,learned many retards find search trending topics
0,thats bias objective fact philly fans cunts
0,movies dont matter long coon shit coons youre nigga
0,sounds like good idea want word spread jews niggers commies alike
0,sure want give free pass every border jumper country two whats wrong
0,shes nigger
0,redneck attitude people think benghazzi real think fox fake nws real one
0,becuz man celebrate bday drreams faggot
0,hoe dont make put screenshots texts hoe
0,jus wanted let y225ll know hope hurricane kills soca sunday trash lordwillin
0,ew queer white thirsty bitch
0,fugly queer white trash
0,omg gtfo white faggot
0,ratchet looking nigger
0,understand look like real life dyke right like look like wnba dyke bro spos bra amp bball shos wearing dyke
0,yes get twitter lame negros never learned use internet
0,hahahaha youza fuck wigger
0,leave beaner retard
0,heyyyyyyyyyyy fag boy gonna watch play
0,says old man hope survive another 10 years silly jigga boo monkey
0,hoe dont tweet
0,hope guys get attacked suppoing sopa bunch diy snake faggots
0,go pray church something fag one cares religious bullshit
0,band white trash white trash would buy album
0,julie tell crybaby blacks get someone blk dress white facedniggers always whining
0,haha ight nig calm yoself
0,fucking block white ass try sta shit like fucking queer fuck nigga
0,ight nigga haha fucking queer clear schedule
0,roid rage much faggot
0,legit retard
0,want got want got americathey got word nigger want
0,im jus tryna vaca away niggers bro
0,sion faggot meh ganks pre6 post6 ganks still pretty meh hes tank nothing special imo mao
0,low info redneck dumbasses vote corporate shills idiots like believe dummies
0,move country teabaggers
0,god damn chinks
0,niggerfood niggerperson nigger
0,ok wat ever u say whitey u prolly never even seen shaft
0,shut lizard faggot nigger cunt
0,ya know slang im racist h8 porch monkies
0,faggots page cant theyfaggots offend
0,im american dont give 2 shits beaners ship beaners back
0,dont bitch shoot sick whores
0,gay tanning bitch juvie made white
0,happy cuz woke white nigger
0,nigger
0,speak one coherent sentence without sounding like nig seriously
0,joke fugly bitch happy uncle snoop even acknowledged nasty ass lmao
0,ok u fat precious lookin ass bitch u big fat back barnyard lookin ass bitch fix grammar u still fat
0,thats even real word must hit blunt staed making shit nigger ass lol
0,done spell check know meant fat liberal dyke feminist nazi bitches
0,fatherless wallet carrying ass video game playing ass negro breh filth way afford date twitterhoney
0,randies fags
0,fuckin roasted faggot
0,hang ovenjew lot common people waste time nigs jews r r problem
0,read suck bacon encrusted middle finger muslim twats
0,faggot buy dictionary
0,always gets da colored folk back da cage wit da kfc
0,nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch
0,butcountry music listeners really hicks alcoholics 128514128514
0,fuck ya little bitch look like mexican sucking cock ur profile
0,niger
0,im paial faggothomoboth fairly describes sick twisted assholes
0,want fag
0,fag
0,shut stupid bitch
0,fag
0,dont know shit faggot bitch
0,fag
0,faggot
0,funny u faggot
0,ur brother looks queer ugly
0,remember nephew lucas crying dan saying quit pussy grow pair something 128514128557 dans funny
0,good leave stupid faggot
0,huh lol mad nigger mad
0,lmao madonnas music sucks yeah youre fucking stupid think gaga better retard
0,happy bihday faggot
0,assume shit hmm cuz u dont know fuck u talking crackers days
0,guess blaspheme allah ok pos muzzie huh
0,sit stfu raghead
0,sweet comeback u fuckin herb dnt watch soccer id still wax bitch ass go swallow red soxs kids ur nyc fag
0,damn took dumb spic nearly 2 days respond wuz really good tho beaner
0,shut yo beaner ass spic hop faggot ass back across border little nigga go listen pitbull
0,fuck u nigger
0,evil hate whitey racist thinks delbe belton deserved
0,ugly nigger
0,gotta love islamofascist cow tries make reto age typical muzzie idiocy
0,nahh whatever spook spic still dont like good day
0,17 high school dont house fucking faggot
0,ians retarded
0,got dyke wit child whse mgr jus hired another girlboy dis week
0,u pulledthat queer shit spon u put homo lol
0,never seen ignorant illiterate pieces shit life bring natl guard amp disperse trash
0,fucking losers wetbacks sorrynotsorry
0,ebloa case texas kill niggers might safe
0,idk mouthy spics welfare 6 kids 3 baby daddys
0,dont bend way queer thanks offer flattering
0,go back nigeria faggot
0,128514128514128514 youre coon
0,yeah people women laff set apa men love real niggas niggers
0,mix retards aap maoists terroristscongies delusional retards
0,hey aklve im taking black ghetto trash youre blocked nigger
0,faggot crybaby
0,fag b
0,anything trash black president
0,know faggot literally thousands people radar homo
0,geta life faggot
0,cunt
0,shut legs hoe
0,shit ass shabbat moms pussy u jew bastard ur times coming heil hitler
0,shut coon
0,dont follow everything company white trash
0,really seem love sandusky weirdo ur creepy ass cracker
0,stop trolling u creepy ass cracker
0,say da hood white trash
0,y8217all whitey gots pay fo da preparations
0,wasnt serious bitch 128514 bitch niggas named aint fuccing witcho ass 128514128557 making shit 128527128553
0,swear god nigger better still hang work got hype
0,work today niglet
0,ugly gay nigga bitch fucking peace shit
0,yall coons n uncle toms
0,fuck stupid ass coward ass punk bitch faggot ass racist piece shit punk bitch aint woh time
0,one problem theres pussies allowed sorry
0,lmao nigga shoulda said would balless bc dat cold bitch wont stop blowin meswaagg
0,hey fag said aunts said
0,jews white race traitors swept clean aryan race survive
0,big fucking dealcry baby niggers
0,search gay redneck episode 1 play
0,getting blocked faggot
0,like nig come home ever want
0,look nigger ass nigger shit right
0,niggers
0,dont tell fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot
0,kill ugly ass monkey looking shit
0,yes im white washed dont go around repping hood saying bunch ignorant nig terms
0,fuck fag
0,fuck niggah gay lol
0,paul mccaney faggot
0,fuckin muzzie cunts depoed savages
0,screw ragheads
0,fuckin yankees ill 2 months ill meet pussy
0,dryer bad ass eyes fag
0,back faggot
0,new york niggas quick take bitch public boy lol
0,fucking coon
0,fuck mother faggot
0,dont hate blew 3005 like hipster hate faggots say love music based worst
0,retarded bruh lol
0,hes lying faggot used inspect element change number dollars account
0,dumb haitian fake black faggots go haiti neck
0,lmaoo fag
0,fuck faggots
0,agree fellow cracker
0,full called children children illegal border jumpers ms gang members
0,band sucked worse live fags guns amp poses
0,likes dat name dem sand niggers needs know dare place da pecker order
0,jesus would love muzzie tourers fucking animal savages
0,im fag gtfo
0,nigger fighter huh
0,ur wrong stupid nigger
0,lmao soft ass nigga trying act tough little bitch sit watch sidelines pussy
0,faggot sack
0,whooooo chelsey fuck lol juss bitch
0,bruh finally roll like rednecks drug dealers
0,well hes cunt suck ass
0,youre faggot
0,ur profile one armed nigger
0,tell coon
0,happy bihday nicca coon shit responsible way
0,whats youtube channel faggot
0,wouldnt proud faze family hes horrible one two hes ugly trailer trash fazeisgay
0,oh woulda coulda shoulda ass niggas bitch ass nigga u bout oh ban wagging ass nigga catch phase
0,eye witness joel faggot
0,faggot
0,okay closet fag
0,ya fag
0,ahmed retard mikey special olympic boxing
0,das calld usen yo brain retard would whoop yo ass n front da police
0,guarantee things youre white youve never anywhere near real ghetto relative pig 100
0,best believe aint christian slave brainwash black spooks miss white man unlike yoself devil
0,end day call yo dumb ass monkey pickananny hoe u luv white devils
0,convince u lame nigger liver believes cuz nigger whore
0,dont give flying fuck teabagger piece human garbage like thinks
0,teabagger scum wants threaten people penis extender danger country
0,medal hate fags wont kill medal thank u privilege let fags live
0,shame selfhating kike jews gds chosen people
0,call house nigger shes racist fathom hypocrisy statement
0,fuckin want outgt im tired bullshit faggot ass closet racist wannabecommunewithoutrailroad stategt cali
0,faggot
0,biggest faggot world
0,like call someone nigger theyre black act like nigger
0,hes friggin idiot say anything redneck teabagger constituants buy love stupid people
0,bye youre queer
0,joke right youre like ugh wish jap tweeting gook shit jerkin hentai
0,u see lame pic ofmine due infatuation niggers im hebrew fite children satan streets
0,fuck miley tranny looking damn ass nigga
0,one less little nigger would grow big nigger
0,ive knowing fag
0,faggot
0,birds 72 wedlock rate white fathers running away
0,youre little bitch
0,aww u mad tho successful man lmfao hut hugging faggot
0,faggots kbye
0,people like give us bad name disgusting piece shit person nigger
0,say shit face bruh bitch gettin man u dont know business handle yo shit
0,pussy without guns bitch spic daddy doesnt even respect sperm drop moms stank pussy
0,coming rescue retard licking diy skidmarks internet guys fucktards
0,thats actually nonenglish okiecops filthy white trash criminals
0,thought would like cause chi yeah faggot
0,it8217s entire pats bandwagon they8217re faggots
0,studies show youre faggot
0,faggots drive stick
0,go jerk lollis faggot
0,shes cunt
0,kill coons
0,yeah better play ya nigger
0,fuck store bitch
0,suppo illegals coming spreading disease among americans dream bitch
0,1 hes faggot dont like 2 im side state
0,fuck outta faggot wouldnt even fair
0,shut fuck fag ill beat shit outta
0,insecure much put insults one tweet fucking dumbass dude id wreck faggot
0,hate faggot corny
0,gay fags
0,shit ill pay premium get away anything ass hoes
0,fuck r u talking told u going tell u nigga love white bitch gtf bro
0,fags
0,fag
0,aw drake sit corner cry listen lmfao pussy dick rider drakes cock taste faggot
0,picture makes look like serious fag justsayin lol
0,faggots old people people cant drive drunk people
0,fuck brett farve redneck ass stuckup dont give damn lol campus acting like shit
0,youll make team niggas trash lol
0,fags
0,dont problems zak seem like faggot
0,hes faggot
0,thats true idk even convo dumb nigger attention whore
0,lmao stupid nigger
0,hell naw fuck bitches serves right
0,yea forgot talkin degenerate faggot
0,faggot
0,youre faggot
0,hey fag lt3
0,man bitch gonna damn thang u dont like got say unfollow
0,nope im stuck house full fucking niggers help escape 128553
0,shut nigger
0,status repo making pit stop canada rape bitches
0,woohoo new black kill cracker babies panthers rescue racist trash thugs ferguson fergusonriot
0,nigger
0,oh shut mouth talkin morning fag
0,naw dude wish theyre white trash
0,leave dyke
0,say waste draft pick manziel mallet thats im telling delete account youre retarded
0,faggot
0,give clothes look like cute dyke
0,chink eyed
0,may jump u ballless dickwad conservative feminist disabled vet bitch wish u luck capital f
0,happy bihday queer
0,oh drafted gay ass come tv well u welcome redskins nation queers lot niggers
0,pats owner kike
0,pills nig last 4 years like magic j nig hav died years ago yall first team draft gay
0,2 3 nigga hoes suck wayans brothers funny jamie foxx number 2
0,fucking queer faggot bitch
0,ya go wetback eat
0,ur pal threat2 apostate kufargti cld cut ur neck wsword islam ampwatch u squeal like bitch like daniel pearl
0,thats call white trash money
0,ud still fag lolz
0,ur fag
0,youre fucking nigger
0,like new avi twitter retarded shows cubs hat stalk profile show new one
0,overrun mongrels zog jews run countries want white man perish
0,haha bitch ima draw webb bullets round yo fuggin forehead beamthat bitch know reside
0,nah said fag
0,nigga 128529128529 know damn well coon
0,spelled faggots e youre cool lol
0,u guys fags
0,nigger music
0,bitch look like fucking white trash trailer park queen lookin man bear pig
0,america today rule thumb doubt blame whitey
0,throw faggot word smh smh smh
0,youre racist white people whigger antiracist codeword antiwhite antizionist codeword antisemite
0,fuck faggot
0,yes retard
0,many fuckin fags even get shouldnt allowed wallet whilst influence haha
0,faggot needs grow
0,good job texting back faggot
0,youre reading coon
0,people followers followers truth still niggers outlook mind amp
0,thanks ignoring texts fag
0,gots da bet da msnbc wit dat colored reverend listen coloreds else missing
0,suck dick tacos el negro better
0,dont kids one queers
0,coons monkeys like disgust minstrel show negro crying shit time youre disgrace everywhere
0,yall hire colored folk work half da day throw da mail da sewer aint done
0,teaching pretend son b pussy son would lace jock strap
0,jigaboos aka homewreckers needs get blocked
0,cares tbh ones shitty diy argentino amp feather fisted nigger
0,hate yankees though right feel like im really good hating
0,yeah sucks like fags oh nevermind fags nfl
0,ill uk fag means cigarette faggot bundle sticks homo
0,fuck spear chucker
0,tyler makes think theyre lil nigger baby hoodrats
0,wow u hoe term women
0,dont hate japs aint forgetting gettin japped either
0,whatever hoe bitch 1 fags beat yall sad asses
0,fags
0,tits may better looking face makes like asian latina tranny facts
0,look like welfare bitch compared latinas date fuck need fashion makeup tips tbh
0,mean bro fucking faggot
0,die car accident faggot
0,faggot
0,ur sassy white trash change ur username
0,learn type ya hillbilly
0,humans evil man cutting tusks beautiful animals chinks think get hard
0,dont stop half breed im staing learn makes dumb ass
0,nigger
0,probs fag vhia
0,repeat u white trash
0,looks like pretty dyke12812910024
0,u pull fucking retard
0,yo fat ugly ass couldnt even pull ugly bitch school
0,nice way callin yall honkies
0,happy bihday faggot
0,im going blame black man since always blame whitey im equal oppounity hater
0,get past boot camp go active years see really daily liberal pussy
0,eat shit nigga bitch turd bag dick beetle
0,nigga whos bitch u fucking cracker get gay ass mentions
0,fag
0,racist ntx trash w hate see paicular man wh n butler
0,terms like honkey cracker peckerwood stereotypes white people fucking kids sisters isnt racist sweet
0,bernstine chi sox jew fag
0,fag
0,thats rooting team hate banwagoning u retard u different favorite
0,love racism blame whitey everything mention bet white man put dese tooise bundyranch
0,oh shut faggot get disease overused twitter
0,retarded
0,fag
0,u gotta slow coon hrs know love n hip hop lebron amp fake love quotes
0,dont forget nappy headed butt ugly bitch whos married muslim
0,nah dude mostly sound like faggot
0,know im kidding bet funny love blacks call eachother ignorant niggers makes
0,fuck still talking shit acting like pussy ass nigga
0,bitch talking u stfu get page oh bitch nigga u bout life
0,let say clearly since retarded ass dont understand
0,would u know dont fuck exactly dont wtf got shut retarded ass
0,lmao ur dad raised u bitch made nigga
0,oh lame yo pussy ass didnt show fuck u talking bout oh scary ass white boy
0,oh grades say wise u stfu get twitter u box simple ass pussy boy
0,fucking retared even funny bitch im going sleep u
0,128514128514alright fag
0,shut bitch spit
0,robes fuckin fag128514 smack shit outta
0,faggot
0,stop oppressing heard free speech stop shoving lifestyle throat 1st amendment tcot teabaggers
0,stfu dyke looking hoe
0,least im black bitch parents left mcdonalds parking lot born
0,may hustlin studied critical race theory people holder getting revenge hate whitey
0,hopes dis aint cause colored cause knows actin nigga like
0,fucking gay faggot look gay ass pink shi haha
0,better nig lol anything ill flip u 10 something im tryna get cash
0,ha ha ha good fat dyke
0,call cock blocking faggot
0,faggot
0,quit bitching faggot happy cant see faggot family cry baby little girl crying parking lot aint man sissy
0,don8217t hu little faggot
0,niggas probably watching like look uncle tom ass rasta
0,dont likes dat magazine da black folk look like dey one chromeasome away da ape
0,omg plz stop calling idiot kindergarden fucking faggot
0,none business nigga get im living lol im stealing one bitches 100k 128056974965039
0,faggots
0,youre right around nig
0,lmao dude probably biggest fag nebraska 128514128514128514128514128514
0,stfu white trash
0,gayer 2 faggots bed together128129
0,mention called nigger wrongwitch agree amp bossy wrongbut called pimp still ok
0,niggress thinks shes human
0,ill agree take ethiopian starvin looking nigger ass back africa buyfoodlittleguy
0,racial minorities werent criminally inclined wouldnt much worry act color race traitor
0,live eye white trash hurricane milwaukie people use bikes bc duis save environment
0,else expect nigger lover
0,shut diy di trap limp knees ashy footed blue balls isolated hamster wheel nipples bitch
0,congratulations officially fucking retarded
0,favorite drink white trash everywhere
0,fight fucking obese niglet
0,ignorant cunt
0,okay lets fight ginger faggot
0,well genos ultimate faggot
0,oh really fags gross aids infected sick fuckers
0,glad uncle another stupid faggot world hopefully next
0,see picture smoking man god disgraceful nig sir embarrassment
0,ignorant cement headed hillbilly said taxing cant fuckin read fucking knob gobbling douchebag
0,come wage us fag
0,niggers
0,fuck bitch bout u get bitch ass nigga stupid ass
0,knew faggot though
0,hit bitch like see bruises
0,youre fucking faggot
0,im 58 fag 128536128536
0,yeah right know mexicans bringing family hoe finna packed
0,go could hook plant city faggots
0,im surprised could read slits eyes
0,ugly dyke
0,stfu u ugly dyke
0,looks like reg memphistn trash got everywhere
0,boringamphack allah mohamed also fagsplease mention welldid god take away balls punishment
0,im faggot
0,cody always calling people nigger hes fucking spaz
0,negro amigo pulled gun nate weeks ago stoked128299128299128299
0,thats happens date colored
0,im going murder fucking cunt
0,ugly white bitch
0,ur ballsack hairy gtfo tranny prude bitch
0,back nigger music decent
0,bitch u ugly hoe
0,youre fag
0,faggot
0,hell naw aint star team lol im sure white honkey called nigga
0,chill ur pussy gay af
0,go back lego club faggot
0,yeah ok nigger
0,dont nigga honkie
0,ugly emo trash go cut
0,goldbar dumb bitch dad wouldnt pick doesnt like faggots like 128528128076128079
0,soft shit handicapped retarded
0,rich white liberals know whats best black people dont see theyre obviously uncle toms
0,working route running catching youll good wr grier fun white trash racist uf fans fsu
0,got 1 except eric holder gave 2 beaners 2 kill americans guess race blind
0,faggot
0,fags
0,dad genuine happy guy kids arent niggers though 128532 jimmy nigga 5eva
0,believe fuckin punk nigga bitch128520128170
0,bitch watch fucking mouth diy whore swear god thats thin line
0,bitch done u sunday nigga
0,fucking faggot
0,hell blk stop sayin nigger america
0,town movie friends stabbed nig 3 times got sent prison justice
0,faggot knew werent really friend
0,mention ugly cunt go back iran
0,little fag least fuck woman kids plus work suppo hipster homo
0,bitch dont want ugly ass gtfo ol peyton manning lookin ass
0,dont u end us monkeys u hate us better crackers amp love deep u know weve done nothin 2 u
0,dis crack ass cracker
0,white boy talmbout ight ill see tomorrow school nigger
0,alright fag
0,made lunch fat faggot 128128
0,twitter fag youre also retarded
0,rednecks none keep fire lit 128514128514
0,whats chinks email im moving china slicing throat
0,hear bill likes trailer trash like
0,guy claiming republican called cspan news said republicans hate nigger obama
0,nicca say ballin ask em title n deeds wher clothes n keys
0,accept flaws imperfections thats makes see im fuck small dick faggot parents dont love
0,aint nuttin white trash pay
0,aint shit like fucking another nigga bitch askin pussy say lmao bitch im stealing pussy lol
0,aint nobody wearing new westbrook jordans mexicans amp trailer park trash white girls
0,al noooo late fuckin faggot lmao
0,da lil bald headed bitches standn outside kevin gates tryna get 128514128514128514
0,muzzy lovers need one thing tell muzzies mideast leave israel alone dont sta shit wont shit israel
0,almost got see white boy get beat around today ran like bitch
0,already yellows last 2 years combined indycar honda200
0,alright ya faggots lets stop rt one gives fuck think people probably lying anyways
0,america white trash americans
0,wanna say something soooooo bad two cunts twitter eh
0,im definitely top 3 makin beats city yall niggers love trap beats yall probably wont admit
0,jew favorited tweet though lol dont anymore time trash
0,ankles hood bitches long weave worst thing ever8221 weave touching ashy ankles 1285678221
0,anyone came us indentured servant white trash
0,apaches 30 mm rounds turn jihadis tomato soup
0,always eli stupid hick hayseed look face giants fans kill yaselves gonna a8230
0,soon left iraq towel heads think fucking barge take worked hard set pisses
0,awk u dont like nephew cousins bc race lmao broke ugly bitches fuck dont need
0,ayy carlton ghetto school switchedatbih
0,bald head bitches think time prosper
0,trend vines acting like women like niggas couldnt wait faggots
0,bill smith dds mtv odb lgbtq mma nfl aflcio bitch pick one fucking hate know proud shit
0,bitch ass nigga hating black women uncle tom bitch punk
0,bitch fuck yo nigga whats pussy
0,bitch youre ugliest cunt ever
0,bitches nigga want another nigga wcw bitch dont work like
0,black bitches dont kickin school bitches still comin wit durags still head nd shit
0,black cops want kill white citizens spic cops want kill anglo citizens zigeuner cops rapists
0,black people like disgust laughing someone died dumb monkey ass niggas like need locked stupidity
0,boy yung thug fag
0,brady heard yall say washed washing league hoe ass niggas
0,bro everybody ho fuck favorite color mango red ho charge phone way 100 ho smh
0,bullets nigguh tru jeans
0,bumped bitch filed sexual harassment work coworkeri aint shook life
0,burn bitch
0,atleast let knowur faggot u keep type twitter secrets
0,california home skater trash
0,faggots honeybooboo imagine internet world created trap feed allah like gazelles stephenking
0,can8217t wait humble niggas playoffs good job hoes
0,cant stand bitch ass niggas
0,cant stand asian dude faggot gives attitude cause almost forgot water fuck u faggot wasnt stage
0,cant stand faggot
0,cant take u coons nowhere amp mean nowhere
0,ceasefirelets see long towel heads go without trying attack israel cry national media get popped
0,celtic means white trash someone says theyre celtic means theyre white trash
0,chasing hoes better get cash nigga
0,chicks love ugly hipster faggots prolly cause look like dad never life
0,chill ever become president imma ban henny america day see negroes panic gotcha bitch
0,chris bosh bout disgrace trophy like real faggot smh
0,clan retards
0,come nd get chicken niggers love dat chicken popeyes
0,crew neck ass nigguh
0,curse avi coke hes fag hasnt put yet
0,cussed fat redneck last day yolo 128514128514
0,cute ass niggah
0,diversity chcgo blck pstr flooded w dth threats ovr endorsement gop candidate 8220u sellout uncle tom ass ngger8221
0,dad yelled bout fry chicken like nigger
